time,temperature
425.8988313674927,33.687
427.7228388786316,33.687
429.546413898468,33.75
431.37041664123535,33.75
433.19483399391174,33.812
435.022483587265,33.875
436.84241771698,33.875
438.6664128303528,33.937
440.4908266067505,33.937
442.3148329257965,33.937
444.1388273239136,34.0
445.96241188049316,34.0
447.7864191532135,34.0
449.61041736602783,34.062
451.43483424186707,34.062
453.25883293151855,34.062
455.0824246406555,34.125
456.9064130783081,34.125
458.7304108142853,34.187
460.55483746528625,34.187
462.378849029541,34.187
464.20282793045044,34.187
466.02642798423767,34.187
467.85041403770447,34.25
469.6744179725647,34.187
471.49884605407715,34.25
473.32283329963684,34.25
475.14642214775085,34.312
476.9704177379608,34.312
478.7946412563324,34.312
480.6188325881958,34.312
482.44285440444946,34.312
484.26684165000916,34.312
486.09041953086853,34.312
487.9144217967987,34.375
489.7384192943573,34.375
491.5628342628479,34.375
493.38683557510376,34.437
495.21042108535767,34.437
497.03441429138184,34.437
498.85841393470764,34.437
500.6828589439392,34.437
502.50683188438416,34.5
504.33082365989685,34.5
506.1547796726227,34.5
507.978839635849,34.5
509.802850484848,34.5
511.62683486938477,34.5
513.4508316516876,34.562
515.2745904922485,34.5
517.0988383293152,34.562
518.9228322505951,34.562
520.7468574047089,34.562
522.5708301067352,34.562
524.3948271274567,34.5
526.218416929245,34.562
528.0424156188965,34.562
529.8664157390594,34.562
531.6908311843872,34.562
533.5148265361786,34.562
535.3388330936432,34.562
537.1628413200378,34.562
538.9868454933167,34.562
540.8104138374329,34.562
542.6344184875488,34.562
544.4584078788757,34.562
546.2828326225281,34.562
548.1068375110626,34.625
549.9344453811646,34.625
551.7544176578522,34.625
553.5784215927124,34.625
555.4024171829224,34.625
557.2264184951782,34.625
559.0504169464111,34.625
560.8748877048492,34.625
562.6988010406494,34.625
564.5228600502014,34.625
566.346836566925,34.625
568.1708533763885,34.687
569.9949309825897,34.625
571.8184139728546,34.625
573.6424145698547,34.625
575.4665355682373,34.687
577.2905523777008,34.687
579.1144165992737,34.687
580.9388725757599,34.687
582.7628304958344,34.687
584.5868229866028,34.687
586.4108877182007,34.687
588.2348294258118,34.687
590.0585713386536,34.687
591.8828427791595,34.687
593.7068254947662,34.687
595.5304203033447,34.625
597.3544166088104,34.625
599.1784160137177,34.625
601.0024406909943,34.625
602.8264124393463,34.625
604.6504156589508,34.625
606.4748337268829,34.562
608.298821926117,34.562
610.1227796077728,34.562
611.9468162059784,34.562
613.7708468437195,34.562
615.5944166183472,34.562
617.418417930603,34.562
619.2424144744873,34.562
621.0667831897736,34.562
622.890834569931,34.625
624.7148320674896,34.625
626.5384097099304,34.625
628.3624098300934,34.625
630.1868345737457,34.562
632.0108335018158,34.562
633.8348362445831,34.562
635.6588547229767,34.562
637.4828391075134,34.562
639.3068330287933,34.562
641.1308081150055,34.562
642.9549016952515,34.5
644.7788455486298,34.562
646.6026213169098,34.5
648.4264180660248,34.5
650.2508533000946,34.562
652.0748338699341,34.562
653.8988242149353,34.562
655.72283411026,34.562
657.546834230423,34.562
659.3708233833313,34.625
661.1948363780975,34.625
663.018826007843,34.625
664.8429074287415,34.625
666.6671507358551,34.687
668.4908995628357,34.687
670.3144125938416,34.75
672.1384143829346,34.75
673.962415933609,34.75
675.786824464798,34.75
677.610853433609,34.812
679.4354283809662,34.812
681.2588315010071,34.812
683.0828359127045,34.812
684.9069221019745,34.812
686.7304196357727,34.875
688.5544137954712,34.875
690.378851890564,34.875
692.2028288841248,34.875
694.0268499851227,34.875
695.8504176139832,34.875
697.674417257309,34.875
699.4984200000763,34.875
701.3228306770325,34.937
703.1468682289124,34.937
704.9750158786774,34.937
706.794415473938,34.937
708.618414402008,34.937
710.4434304237366,34.937
712.2668445110321,34.937
714.0908317565918,34.937
715.9148488044739,34.937
717.7388551235199,34.937
719.562830209732,34.937
721.3864178657532,35.0
723.2104179859161,35.0
725.0348432064056,35.0
726.8588428497314,35.0
728.6828260421753,34.937
730.5064146518707,34.937
732.3304128646851,34.937
734.1544151306152,35.0
735.9828567504883,35.0
737.8028526306152,35.0
739.626832485199,34.937
741.4505453109741,34.937
743.2744135856628,34.937
745.0988380908966,34.937
746.9228296279907,34.937
748.7468328475952,34.937
750.5704128742218,34.937
752.3944084644318,34.937
754.2184202671051,35.0
756.04283618927,35.0
757.8668339252472,35.0
759.6909120082855,35.0
761.5144124031067,35.0
763.3384137153625,35.0
765.1628358364105,35.0
766.986832857132,35.0
768.810925245285,34.937
770.6348452568054,34.937
772.4588279724121,35.0
774.282835483551,34.937
776.1064217090607,34.937
777.9304158687592,35.0
779.7544119358063,35.0
781.5788328647614,34.937
783.4028542041779,35.0
785.2268416881561,34.937
787.0508313179016,34.937
788.8748450279236,34.937
790.6988368034363,34.937
792.5228283405304,34.937
794.3468239307404,34.937
796.1707508563995,34.937
797.9948198795319,34.937
799.8188235759735,34.937
801.6428420543671,34.937
803.4668357372284,34.937
805.2904217243195,34.937
807.114429473877,34.875
808.9384129047394,34.937
810.7628326416016,34.937
812.5868318080902,34.937
814.4108760356903,34.875
816.2344219684601,34.875
818.0584168434143,34.875
819.8824152946472,34.875
821.7068238258362,34.937
823.530858039856,34.937
825.354841709137,34.937
827.1788244247437,34.937
829.0028507709503,34.937
830.8264136314392,34.937
832.6504199504852,34.937
834.4744143486023,34.937
836.2988402843475,35.0
838.1228382587433,35.0
839.9508676528931,35.0
841.7708249092102,35.0
843.5948243141174,35.062
845.4184174537659,35.062
847.2424108982086,35.062
849.066412448883,35.062
850.8908276557922,35.125
852.7148320674896,35.125
854.5388326644897,35.125
856.3628439903259,35.125
858.1868350505829,35.125
860.010605096817,35.125
861.8348262310028,35.125
863.658837556839,35.187
865.4824199676514,35.125
867.3064157962799,35.125
869.1304140090942,35.125
870.9549405574799,35.187
872.7787766456604,35.125
874.6028337478638,35.187
876.4268352985382,35.125
878.2508277893066,35.125
880.0747766494751,35.187
881.8988254070282,35.187
883.7228209972382,35.187
885.5464177131653,35.187
887.3704152107239,35.187
889.194414138794,35.25
891.0188496112823,35.25
892.842835187912,35.25
894.6670787334442,35.25
896.4904158115387,35.25
898.3144159317017,35.312
900.1388392448425,35.25
901.9628443717957,35.25
903.7868378162384,35.312
905.6108417510986,35.312
907.4348385334015,35.312
909.2588279247284,35.312
911.0827851295471,35.312
912.9064619541168,35.312
914.7304179668427,35.312
916.554411649704,35.375
918.3788301944733,35.375
920.2024211883545,35.375
922.0264146327972,35.437
923.8504154682159,35.437
925.6748340129852,35.437
927.4988224506378,35.437
929.3228511810303,35.437
931.1467695236206,35.437
932.970832824707,35.437
934.7948317527771,35.437
936.6184310913086,35.437
938.4424095153809,35.437
940.266832113266,35.5
942.0908284187317,35.437
943.9148323535919,35.437
945.7388718128204,35.437
947.562849521637,35.437
949.386830329895,35.437
951.2108340263367,35.437
953.0349926948547,35.437
954.8588433265686,35.437
956.6828391551971,35.437
958.506822347641,35.375
960.3304195404053,35.375
962.1544139385223,35.437
963.9784119129181,35.375
965.8028280735016,35.375
967.6268632411957,35.375
969.4508273601532,35.375
971.2748327255249,35.375
973.1028392314911,35.375
974.9229760169983,35.375
976.7708237171173,35.375
978.570821762085,35.375
980.3948588371277,35.375
982.2188303470612,35.375
984.0428285598755,35.437
985.8668367862701,35.375
987.6908006668091,35.437
989.5188257694244,35.437
991.3384158611298,35.437
993.1624147891998,35.437
994.9944233894348,35.437
996.8108596801758,35.437
998.6348271369934,35.437
1000.4588394165039,35.437
1002.2828469276428,35.437
1004.106831073761,35.5
1005.9308288097382,35.437
1007.7548358440399,35.437
1009.5788249969482,35.437
1011.4027676582336,35.437
1013.2268552780151,35.375
1015.0504250526428,35.437
1016.8744165897369,35.375
1018.6984150409698,35.437
1020.5228414535522,35.437
1022.346834897995,35.437
1024.1708345413208,35.437
1025.994863986969,35.437
1027.818832397461,35.437
1029.642835855484,35.437
1031.466418504715,35.5
1033.2904171943665,35.5
1035.114850282669,35.562
1036.9388284683228,35.562
1038.7628345489502,35.562
1040.5868422985077,35.625
1042.4108347892761,35.625
1044.2348368167877,35.625
1046.0624256134033,35.625
1047.882416009903,35.625
